RAND,EmployeeID,GRADE,GENDER,FUNCTION,OC_RATE,PERFORM,Y_GRADE,AGE,Y_SERVIC,Nationality,Rank2
0.446368,246,1,Male,Sales & Marketing,1,2,3,55,7,Switzerland,253
0.772564,247,1,Male,Operations,1,2,2,42,5,Switzerland,231
0.736248,248,3,Male,Operations,1,3,3,39,8,Spain,406
0.157523,249,1,Male,Operations,1,2,3,35,6,Switzerland,347
0.404072,250,1,Male,Operations,1,2,5,55,9,Switzerland,468
0.671944,251,2,Male,Sales & Marketing,1,3,1,54,4,Switzerland,64
0.283423,252,1,Male,Operations,1,2,1,53,4,Switzerland,86
0.019141,253,1,Male,Finance,1,2,3,54,7,Switzerland,343
0.972332,254,1,Female,Internal Services,1,3,5,32,5,Switzerland,480
0.011786,255,1,Male,Operations,1,2,2,44,5,Switzerland,215
0.278822,256,2,Female,Operations,1,2,4,26,5,Germany,424
0.256808,257,6,Male,Strategy,1,2,1,41,9,Switzerland,87
0.327136,258,1,Male,Operations,1,2,3,37,8,France,363
0.276105,259,1,Male,HR,1,3,0,42,8,Switzerland,46
0.762294,260,2,Male,Sales & Marketing,1,2,4,59,5,Switzerland,434
0.442984,261,3,Female,HR,1,3,5,25,1,France,479
0.560402,262,5,Male,Finance,1,3,3,37,9,Switzerland,278
0.537589,263,2,Male,Operations,1,2,1,56,0,Austria,132
0.542566,264,2,Male,Operations,1,2,2,48,5,France,199
0.918275,265,3,Female,Operations,1,2,5,24,8,Switzerland,473
0.750802,266,2,Female,Operations,0.8,2,0,37,5,Switzerland,37
0.481656,267,2,Male,Finance,1,2,2,45,3,Switzerland,186
0.323992,268,1,Female,Operations,1,4,5,61,1,France,466
0.983014,269,3,Male,Strategy,1,2,1,41,3,Switzerland,108
0.481635,270,1,Female,Operations,1,3,1,48,7,Switzerland,54
0.847819,271,3,Female,Sales & Marketing,1,2,3,36,9,Switzerland,314
0.540759,272,5,Female,Operations,1,3,3,33,0,Switzerland,326
0.131234,273,1,Female,Internal Services,1,3,2,61,6,Switzerland,243
0.231471,274,1,Male,Operations,1,2,3,52,4,Switzerland,311
0.037639,275,5,Female,Operations,1,2,2,47,1,France,218
0.044348,276,1,Male,Sales & Marketing,1,3,1,38,2,France,81
0.871682,277,1,Male,Operations,1,2,1,50,8,France,98
0.410958,278,4,Male,Sales & Marketing,1,2,1,44,4,Switzerland,61
0.915004,279,1,Male,Sales & Marketing,1,3,3,36,8,Switzerland,276
0.445927,280,6,Male,Internal Services,1,3,1,44,0,France,85
0.84582,281,1,Male,Operations,1,2,1,38,5,Italy,117
0.325228,282,5,Male,Internal Services,1,3,3,32,9,Austria,299
0.825856,283,1,Male,Operations,1,3,5,30,7,Switzerland,477
0.23182,284,1,Male,Operations,1,2,5,41,1,France,465
0.78792,285,1,Male,Sales & Marketing,1,2,0,49,6,Switzerland,6
0.430563,286,3,Male,Operations,1,2,0,29,2,Germany,10
0.702574,287,1,Male,Internal Services,1,3,0,42,0,France,9
0.810216,288,2,Male,Sales & Marketing,1,2,2,47,4,Germany,228
0.32002,289,2,Female,Sales & Marketing,1,3,0,41,4,Italy,2
0.201789,290,1,Male,Operations,1,1,8,36,8,France,494
0.223772,291,3,Female,Sales & Marketing,1,3,3,37,6,Switzerland,283
0.390736,292,1,Male,Sales & Marketing,1,2,4,39,9,France,458
0.358218,293,2,Female,Internal Services,0.6,2,4,48,9,France,431
0.583579,294,3,Male,Operations,1,2,2,38,0,Switzerland,185
0.787108,295,2,Female,Operations,1,2,3,43,8,Switzerland,353
0.497983,296,1,Male,Sales & Marketing,1,2,3,44,3,Netherlands,263
0.465864,297,1,Male,Sales & Marketing,1,2,2,41,2,Switzerland,175
0.087091,298,4,Female,Operations,1,3,3,39,9,Switzerland,285
0.386491,299,2,Male,Sales & Marketing,1,3,2,46,6,Switzerland,212
0.837983,300,3,Male,Operations,1,3,0,51,4,France,22
0.803397,301,1,Male,Operations,1,2,1,45,3,Switzerland,103
0.65535,302,1,Male,Internal Services,1,2,3,38,6,Switzerland,382
0.527035,303,3,Male,Operations,1,3,3,49,0,Switzerland,332
0.144648,304,4,Female,Operations,1,2,1,30,8,Switzerland,147
0.654101,305,2,Male,Sales & Marketing,1,2,3,47,9,Italy,319
0.023454,306,1,Male,Operations,1,3,1,33,6,Switzerland,120
0.214267,307,1,Male,Operations,1,3,3,32,7,Switzerland,384
0.470531,308,2,Male,Sales & Marketing,1,2,3,41,0,Switzerland,408
0.502939,309,3,Male,Sales & Marketing,1,3,1,39,7,Switzerland,114
0.510373,310,3,Female,Operations,1,3,0,59,0,Germany,14
0.533499,311,1,Female,Operations,1,2,2,55,9,Italy,221
0.109539,312,2,Female,Operations,1,2,3,34,8,Germany,379
0.508698,313,1,Male,Operations,1,3,1,49,8,France,130
0.981884,314,1,Female,Operations,1,3,2,32,0,France,206
0.33986,315,1,Female,Operations,1,2,6,29,0,Switzerland,488
0.813528,316,6,Male,Operations,1,2,2,46,4,Italy,187
0.249087,317,1,Female,Operations,1,2,4,51,4,Switzerland,421
0.86952,318,4,Female,Operations,1,3,0,26,0,France,24
0.813326,319,2,Male,Operations,1,3,0,52,2,Germany,43
0.797829,320,2,Male,Sales & Marketing,1,3,1,49,0,Switzerland,124
0.335697,321,4,Male,Operations,1,3,4,36,9,Switzerland,456
0.411223,322,4,Female,Internal Services,1,3,3,46,4,Switzerland,383
0.176684,323,2,Male,Sales & Marketing,1,4,1,33,1,Switzerland,109
0.247769,324,5,Male,Internal Services,1,2,3,52,7,Switzerland,272
0.765739,325,2,Female,Operations,0.6,2,4,32,4,Switzerland,443
0.182014,326,5,Male,Sales & Marketing,1,2,2,29,5,Germany,232
0.490555,327,3,Male,Sales & Marketing,1,3,1,48,6,Switzerland,104
0.07381,328,2,Male,Operations,1,2,4,44,6,Germany,435
0.52881,329,3,Female,Sales & Marketing,1,3,1,28,7,Italy,107
0.863861,330,3,Female,Operations,0.9,1,5,49,5,Switzerland,475
0.286513,331,1,Male,Sales & Marketing,1,3,4,34,9,Switzerland,437
0.89776,332,1,Male,Operations,1,4,1,26,7,Switzerland,146
0.965044,333,1,Male,Sales & Marketing,1,2,0,42,1,Switzerland,48
0.432463,334,1,Male,Internal Services,1,3,3,33,4,Germany,349
0.127307,335,1,Male,Operations,1,3,3,48,6,Switzerland,385
0.014147,336,1,Male,Sales & Marketing,1,2,3,45,3,France,289
0.267647,337,5,Male,Strategy,1,2,1,30,1,Switzerland,157
0.048352,338,1,Female,Operations,1,2,3,32,6,France,301
0.040174,339,3,Female,Sales & Marketing,1,1,1,38,4,Switzerland,122
0.483641,340,2,Male,Internal Services,1,3,3,40,6,France,266
0.342424,341,1,Male,Sales & Marketing,1,2,1,45,0,Switzerland,72
0.711351,342,3,Female,Finance,0.9,2,3,29,3,Switzerland,321
0.950317,343,6,Female,HR,1,2,2,31,3,Switzerland,171
0.612291,344,3,Male,Operations,1,3,1,23,1,Germany,154
0.288145,345,1,Female,Sales & Marketing,1,3,0,33,7,Switzerland,34
0.811847,346,3,Male,Internal Services,1,3,3,47,7,Malaysia,361
0.253793,347,4,Male,Operations,1,2,0,48,6,Switzerland,21
0.833146,348,2,Male,Operations,1,2,0,43,4,United Kingdom,31
0.556713,349,1,Male,Operations,1,2,0,46,7,Germany,15
0.451241,350,1,Male,Operations,1,2,3,59,9,Germany,409
0.59488,351,3,Male,Sales & Marketing,1,3,0,48,3,Germany,20
0.81389,352,2,Male,Internal Services,1,3,3,44,9,Switzerland,388
0.997646,353,2,Male,Sales & Marketing,1,3,1,33,4,Germany,93
0.776812,354,1,Male,Operations,1,2,1,49,0,Greece,148
0.932093,355,1,Male,Operations,1,2,3,51,0,Italy,345
0.630022,356,3,Male,Sales & Marketing,1,3,2,42,3,Switzerland,177
0.539823,357,1,Male,Operations,1,3,3,48,1,Switzerland,350
0.020679,358,2,Female,Operations,0.8,3,4,23,9,France,453
0.454265,359,2,Male,Sales & Marketing,1,3,3,43,9,United States,256
0.584164,360,2,Male,Internal Services,1,2,9,27,0,Italy,496
0.405276,361,4,Male,Internal Services,1,2,4,37,9,Switzerland,450
0.288506,362,1,Male,Operations,1,2,2,56,9,United States,239
0.483282,363,6,Male,Strategy,1,3,6,46,7,France,489
0.923607,364,2,Male,Operations,1,2,1,38,2,France,73
0.836941,365,3,Male,Sales & Marketing,1,2,2,30,9,Switzerland,229
0.649812,366,1,Male,Finance,1,2,3,55,3,Switzerland,415
0.38284,367,2,Male,Sales & Marketing,1,2,3,34,0,Switzerland,370
0.738425,368,2,Male,Sales & Marketing,1,2,0,55,0,Switzerland,11
0.577169,369,2,Female,Sales & Marketing,1,3,3,47,9,Russia,400
0.421551,370,1,Male,Operations,1,2,4,58,4,Switzerland,446
0.076491,371,1,Male,Operations,1,3,5,51,1,Switzerland,484
0.547261,372,4,Male,Sales & Marketing,1,2,4,35,5,France,438
0.075651,373,3,Male,Operations,1,3,1,52,8,Switzerland,52
0.925384,374,3,Female,Internal Services,1,3,2,29,6,France,196
0.443758,375,2,Male,Operations,1,1,3,35,9,Germany,328
0.057624,376,4,Male,Sales & Marketing,1,2,2,31,3,Switzerland,241
0.903223,377,1,Female,Strategy,1,3,1,44,5,Switzerland,112
0.986678,378,1,Male,Operations,1,3,3,45,0,France,359
0.848634,379,2,Male,Sales & Marketing,1,1,1,45,7,Italy,144
0.431565,380,1,Male,Sales & Marketing,1,2,9,43,1,Switzerland,498
0.29474,381,1,Male,Finance,1,2,0,43,7,Switzerland,41
0.066817,382,1,Male,Internal Services,1,2,1,54,5,Switzerland,110
0.534257,383,4,Male,Sales & Marketing,1,2,3,34,9,Switzerland,386
0.723133,384,1,Male,Operations,1,2,0,41,0,Italy,12
0.179029,385,5,Male,Sales & Marketing,1,2,1,44,4,France,160
0.114198,386,1,Female,HR,1,2,3,31,1,France,312
0.922369,387,3,Female,Operations,1,2,2,44,5,Switzerland,237
0.505168,388,1,Male,Sales & Marketing,1,2,1,55,5,Switzerland,75
0.105948,389,1,Male,Operations,1,3,3,59,4,Switzerland,420
0.189903,390,1,Male,Internal Services,1,2,2,23,6,Switzerland,172
0.955261,391,3,Male,Internal Services,1,2,2,33,8,Switzerland,184
0.574515,392,4,Male,Operations,1,2,3,28,6,France,352
0.120033,393,2,Male,Operations,1,2,3,48,9,Switzerland,300
0.917953,394,3,Male,Operations,1,2,3,54,7,Switzerland,282
0.622305,395,1,Male,Operations,1,2,3,49,6,France,287
0.770286,396,1,Male,Sales & Marketing,1,2,3,54,9,France,374
0.930031,397,3,Female,Sales & Marketing,1,2,3,49,0,Switzerland,306
0.90029,398,3,Male,Operations,1,3,3,51,9,France,262
